longitude,latitude,elevation,slope
-109.1249987,36.70833435,1947.0624,-81.0768
-109.0833321,36.70833435,1823.0088,-142.9512
-109.0416654,36.70833435,1722.12,-252.984
-108.9999987,36.70833435,1687.068,-319.1256
-108.958332,36.70833435,1700.1744,-227.076
-108.9166654,36.70833435,1637.9952,-207.8736
-108.8749987,36.70833435,1602.0288,-252.0696
-108.833332,36.70833435,1630.9848,-500.1768
-108.7916654,36.70833435,1622.1456,-469.0872
-108.7499987,36.70833435,1598.9808,-406.908
-108.708332,36.70833435,1577.9496,-266.0904
-108.6666654,36.70833435,1575.2064,-167.9448
-108.6249987,36.70833435,1565.148,-92.0496
-108.583332,36.70833435,1566.9768,-47.8536
-108.5416653,36.70833435,1552.0416,-53.9496
-108.4999987,36.70833435,1598.0664,37.1856
-108.458332,36.70833435,1637.0808,91.1352
-108.4166653,36.70833435,1609.9536,40.2336
-108.3749987,36.70833435,1623.06,47.8536
-108.333332,36.70833435,1630.0704,80.1624
-108.2916653,36.70833435,1680.972,117.0432
-108.2499987,36.70833435,1655.064,123.7488
-108.208332,36.70833435,1630.0704,153.0096
-108.1666653,36.70833435,1639.2144,251.1552
-108.1249986,36.70833435,1646.2248,418.1856
-108.083332,36.70833435,1675.1808,386.1816
-108.0416653,36.70833435,1693.164,366.9792
-107.9999986,36.70833435,1671.2184,410.2608
-107.958332,36.70833435,1669.9992,348.0816
-107.9166653,36.70833435,1679.1432,327.9648
-107.8749986,36.70833435,1694.9928,283.1592
-107.833332,36.70833435,1698.9552,373.0752
-107.7916653,36.70833435,1718.1576,399.8976
-107.7499986,36.70833435,1818.132,440.7408
-107.7083319,36.70833435,1970.2272,463.9056
-107.6666653,36.70833435,1984.248,467.868
-107.6249986,36.70833435,2004.06,417.8808
-107.5833319,36.70833435,2020.2144,436.7784
-107.5416653,36.70833435,1971.1416,464.2104
-107.4999986,36.70833435,1958.0352,489.8136
-107.4583319,36.70833435,1964.1312,499.2624
-107.4166653,36.70833435,2028.1392,554.1264
-107.3749986,36.70833435,2029.968,718.1088
-107.3333319,36.70833435,2079.9552,483.108
-107.2916652,36.70833435,2110.1304,231.9528
-107.2499986,36.70833435,2143.0488,302.9712
-107.2083319,36.70833435,2111.0448,205.1304
-107.1666652,36.70833435,2107.9968,193.8528
-107.1249986,36.70833435,2134.2096,220.98
-107.0833319,36.70833435,2168.9568,262.128
-107.0416652,36.70833435,2194.2552,245.9736
-106.9999986,36.70833435,2253.0816,213.9696
-106.9583319,36.70833435,2436.2664,279.1968
-106.9166652,36.70833435,2301.24,355.092
-106.8749985,36.70833435,2202.18,591.0072
-106.8333319,36.70833435,2287.2192,872.0328
-106.7916652,36.70833435,2209.1904,888.1872
-106.7499985,36.70833435,2214.0672,932.0784
-106.7083319,36.70833435,2192.1216,841.8576
-106.6666652,36.70833435,2220.1632,852.2208
-106.6249985,36.70833435,2210.1048,696.7728
-106.5833319,36.70833435,2242.1088,494.9952
