# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
-2.72736e+07,1,6.10352e-05,5,31,0,5.97501e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-2.72736e+07,0,14.3855,0,1,1,2.72736e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-2.72736e+07,0,2.43117,0,1,1,2.72736e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-2.72736e+07,0,0.239791,0,1,1,2.72736e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-2.72736e+07,0,0.0186273,0,1,1,2.72736e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-2.72736e+07,0,0.00130482,0,1,1,2.72736e+07,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,1.71697,-0.426816,-1.06731,-1.20828,-0.332913,-1.98947,-1.4641,0.116461,-1.08615,1.66008,0.983015,0.432207,-0.107524,1.24146,0.410329,-1.28303,-0.426816,-4.06731,-4.20828,-0.332913,-4.98947,-1.4641,0.116461,-1.08615
-1.21628e+07,1,8.85015e-05,2,3,0,2.3695e+07,1.6602,0.98314,0.432229,0.106272,1.1832,0.439181,1.63229,-0.399516,-1.0829,-1.30466,-0.306437,-2.00498,-1.33856,0.0830199,-1.07175,1.6602,0.98314,0.432229,0.106272,1.1832,0.439181,-1.36771,-0.399516,-4.0829,-4.30466,-0.306437,-5.00498,-1.33856,0.0830199,-1.07175
-5.02852e+06,1,0.000135987,1,1,0,1.03972e+07,1.6602,0.983277,0.43239,0.331669,1.12496,0.468129,1.5505,-0.37531,-1.09611,-1.41724,-0.276538,-2.02199,-1.1958,0.0453568,-1.05543,1.6602,0.983277,0.43239,0.331669,1.12496,0.468129,-1.4495,-0.37531,-4.09611,-4.41724,-0.276538,-5.02199,-1.1958,0.0453568,-1.05543
-1.72838e+06,1,0.000228818,2,3,0,4.14984e+06,1.66028,0.98305,0.431981,0.596227,1.0612,0.500105,1.46335,-0.352277,-1.10878,-1.5614,-0.24022,-2.04267,-1.01886,0.000605007,-1.03612,1.66028,0.98305,0.431981,0.596227,1.0612,0.500105,-1.53665,-0.352277,-4.10878,-4.5614,-0.24022,-5.04267,-1.01886,0.000605007,-1.03612
-523247,1,0.000408639,5,31,0,1.39864e+06,1.66002,0.983994,0.431515,0.888125,0.99593,0.531719,1.37697,-0.332763,-1.11878,-1.73234,-0.19958,-2.06456,-0.820247,-0.0463885,-1.01532,1.66002,0.983994,0.431515,0.888125,0.99593,0.531719,-1.62303,-0.332763,-4.11878,-4.73234,-0.19958,-5.06456,-0.820247,-0.0463885,-1.01532
