# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
-30762,1,0.000976562,1,1,0,86281.8,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-1.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,0.425284,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-6.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,-4.57472,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904
-30762,0,14.3855,0,1,1,30776.7,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-1.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,0.425284,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-6.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,-4.57472,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904
-30762,0,2.43117,0,1,1,30779,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-1.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,0.425284,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-6.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,-4.57472,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904
-30762,0,0.239791,0,1,1,30773,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-1.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,0.425284,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-6.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,-4.57472,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904
-30762,0,0.0186273,0,1,1,30775.4,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-1.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,0.425284,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904,1.65462,0.975846,0.425918,-0.37561,1.31281,0.365502,1.94051,-0.392542,-0.95522,-1.02737,-0.293138,-1.87988,-6.63567,0.131802,-1.12534,1.79399,1.58654,0.880634,-4.57472,0.213813,-0.637211,0.519352,-1.76993,-1.52789,0.919658,0.42308,-0.999869,-0.382424,0.750692,0.288904
-14166,1,0.00130482,2,3,0,27329.5,1.65361,0.972504,0.42226,-0.380879,1.31053,0.363001,2.00643,-0.35482,-0.910102,-0.979856,-0.252055,-1.8249,-1.65797,0.118782,-1.13959,1.78005,1.57625,0.866065,0.398013,0.201002,-0.656052,0.498896,-1.78589,-1.55018,0.905707,0.419085,-1.00395,-0.394894,0.739472,0.275103,1.65361,0.972504,0.42226,-0.380879,1.31053,0.363001,2.00643,-0.35482,-0.910102,-0.979856,-0.252055,-1.8249,-6.65797,0.118782,-1.13959,1.78005,1.57625,0.866065,-4.60199,0.201002,-0.656052,0.498896,-1.78589,-1.55018,0.905707,0.419085,-1.00395,-0.394894,0.739472,0.275103
-4830.48,1,0.00189104,4,15,0,12065.5,1.64971,0.968685,0.417596,-0.386116,1.30682,0.359748,2.07828,-0.315766,-0.860264,-0.926944,-0.207419,-1.76083,-1.67867,0.109059,-1.15525,1.76691,1.56142,0.852088,0.365676,0.187229,-0.669136,0.478439,-1.80461,-1.57418,0.88461,0.421994,-1.00118,-0.407239,0.724285,0.2609,1.64971,0.968685,0.417596,-0.386116,1.30682,0.359748,2.07828,-0.315766,-0.860264,-0.926944,-0.207419,-1.76083,-6.67867,0.109059,-1.15525,1.76691,1.56142,0.852088,-4.63432,0.187229,-0.669136,0.478439,-1.80461,-1.57418,0.88461,0.421994,-1.00118,-0.407239,0.724285,0.2609
320.592,1,0.00305706,1,1,0,3423.24,1.64945,0.956752,0.410759,-0.386725,1.29989,0.355851,2.16224,-0.269153,-0.798457,-0.85593,-0.157341,-1.67618,-1.70166,0.0988302,-1.17633,1.74279,1.5385,0.835784,0.325939,0.169788,-0.684916,0.445922,-1.82161,-1.60925,0.862468,0.431102,-0.995837,-0.428039,0.70934,0.248661,1.64945,0.956752,0.410759,-0.386725,1.29989,0.355851,2.16224,-0.269153,-0.798457,-0.85593,-0.157341,-1.67618,-6.70166,0.0988302,-1.17633,1.74279,1.5385,0.835784,-4.67406,0.169788,-0.684916,0.445922,-1.82161,-1.60925,0.862468,0.431102,-0.995837,-0.428039,0.70934,0.248661
2338.98,1,0.00530085,2,3,0,-908.172,1.64209,0.946374,0.405036,-0.389013,1.28661,0.346856,2.2229,-0.213807,-0.720977,-0.752137,-0.106212,-1.57374,-1.71279,0.086693,-1.20037,1.70402,1.52952,0.815874,0.293606,0.155476,-0.707158,0.397729,-1.84737,-1.65954,0.841983,0.44238,-0.975589,-0.447999,0.684818,0.226169,1.64209,0.946374,0.405036,-0.389013,1.28661,0.346856,2.2229,-0.213807,-0.720977,-0.752137,-0.106212,-1.57374,-6.71279,0.086693,-1.20037,1.70402,1.52952,0.815874,-4.70639,0.155476,-0.707158,0.397729,-1.84737,-1.65954,0.841983,0.44238,-0.975589,-0.447999,0.684818,0.226169
5694.16,1,0.00961161,2,3,0,-2642.74,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-1.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,0.431802,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-6.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,-4.5682,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812
5694.16,0,0.0179176,0,1,1,-5677.51,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-1.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,0.431802,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812,1.58554,0.904524,0.329532,-0.427061,1.28666,0.285817,1.79545,-0.118818,-0.548651,-0.204996,-0.146175,-1.27987,-6.4583,0.0552823,-1.30286,1.53058,1.59169,0.750072,-4.5682,0.170253,-0.775208,0.16099,-1.86524,-1.77907,0.74173,0.54784,-0.869785,-0.520304,0.61855,0.135812
